ClassKind,icd11Code,icd11Title,icd11TTDalias,isLeaf,MeSHDiseaseID,MeSHDiseaseTerm,HSDNCount,TTDTitle,TTDDrugCount,DrugPresentInBlock,icd10Code,icd10Chapter,icd10Title
category,CA40.2,- - - Fungal pneumonia,,False,,,0,,0,0,J17.2,X,Pneumonia in mycoses
category,CA40.20,- - - - Pneumonia due to pneumocystis,,True,D011020,"Pneumonia, Pneumocystis (B59)",44,Pneumocystis pneumonia,2,0,J17.2,X,Pneumonia in mycoses
category,CA40.2Y,- - - - Other specified fungal pneumonia,,True,,,0,,0,0,J17.2,X,Pneumonia in mycoses
category,CA40.2Z,"- - - - Fungal pneumonia, unspecified",,True,,,0,,0,0,J17.2,X,Pneumonia in mycoses
category,CA40.Y,- - - Other specified pneumonia,,True,,,0,,0,0,J09-J18,X,Influenza and pneumonia
category,CA40.Z,"- - - Pneumonia, organism unspecified",,True,,,0,,0,0,J09-J18,X,Influenza and pneumonia
category,CA41,- - Acute bronchiolitis,,False,,,0,,0,0,J21,X,Acute bronchiolitis
category,CA41.0,- - - Acute bronchiolitis due to respiratory syncytial virus,,True,,,0,,0,0,J21.0,X,Acute bronchiolitis due to respiratory syncytial virus
category,CA41.Y,- - - Other specified acute bronchiolitis,,True,,,0,,0,0,J21.8,X,Acute bronchiolitis due to other specified organisms
category,CA41.Z,"- - - Acute bronchiolitis, unspecified",,True,,,0,,0,0,J21,X,Acute bronchiolitis
category,CA42,- - Acute bronchitis,CA20,False,D001991,Bronchitis (J40),68,Acute bronchitis,1,0,J20,X,Acute bronchitis
category,CA42.0,- - - Acute bronchitis due to Streptococcus,,True,,,0,,0,0,J20.2,X,Acute bronchitis due to streptococcus
category,CA42.1,- - - Acute bronchitis due to Rhinovirus,,True,,,0,,0,0,J20.6,X,Acute bronchitis due to rhinovirus
category,CA42.2,- - - Acute bronchitis due to Respiratory syncytial virus,,True,,,0,,0,0,J20.5,X,Acute bronchitis due to respiratory syncytial virus
category,CA42.3,- - - Acute bronchitis due to Parainfluenza virus,,True,,,0,,0,0,J20.4,X,Acute bronchitis due to parainfluenza virus
category,CA42.4,- - - Acute bronchitis due to Haemophilus influenzae,,True,,,0,,0,0,J20.1,X,Acute bronchitis due to Haemophilus influenzae
category,CA42.5,- - - Acute bronchitis due to Coxsackievirus,,True,,,0,,0,0,J20.3,X,Acute bronchitis due to coxsackievirus
category,CA42.Y,- - - Other specified acute bronchitis,,True,,,0,,0,0,J20.8,X,Acute bronchitis due to other specified organisms
category,CA42.Z,"- - - Acute bronchitis, unspecified",,True,,,0,,0,0,J20,X,Acute bronchitis
category,CA43,- - Abscess of lung or mediastinum,,False,D008169,Lung Abscess,28,,0,0,J85,X,Abscess of lung and mediastinum
category,CA43.0,- - - Gangrene or necrosis of lung,,True,,,0,,0,0,J85.0,X,Gangrene and necrosis of lung
category,CA43.1,- - - Abscess of lung with pneumonia,,True,,,0,,0,0,J85.1,X,Abscess of lung with pneumonia
category,CA43.2,- - - Abscess of lung without pneumonia,,True,,,0,,0,0,J85.2,X,Abscess of lung without pneumonia
category,CA43.3,- - - Abscess of mediastinum,,True,,,0,,0,0,J85.3,X,Abscess of mediastinum
category,CA43.Y,- - - Other specified abscess of lung or mediastinum,,True,,,0,,0,0,J85,X,Abscess of lung and mediastinum
category,CA43.Z,"- - - Abscess of lung or mediastinum, unspecified",,True,,,0,,0,0,J85,X,Abscess of lung and mediastinum
category,CA44,- - Pyothorax,,True,D016724,"Empyema, Pleural",18,,0,0,J86,X,Pyothorax
category,CA45,"- - Respiratory infections, not elsewhere classified",,True,D012120,Respiration Disorders (J98.9),100,Respiratory tract infection,3,0,J98.7,X,"Respiratory infections, not elsewhere classified"
category,CA4Y,- - Other specified lung infections,,True,,,0,,0,0,J09-J18,X,Influenza and pneumonia
category,CA4Z,"- - Lung infections, unspecified",,True,,,0,,0,0,J09-J18,X,Influenza and pneumonia
block,CA60-CA8Z,- Lung diseases due to external agents,,False,,,0,,0,0,J60-J70,X,Lung diseases due to external agents
category,CA60,- - Pneumoconiosis,,False,D011009,Pneumoconiosis,0,,0,0,J60-J70,X,Lung diseases due to external agents
category,CA60.0,- - - Pneumoconiosis due to dust containing silica,,False,D012829,Silicosis,34,,0,0,J62,X,Pneumoconiosis due to dust containing silica
category,CA60.00,- - - - Pneumoconiosis due to talc dust,,True,,,0,,0,0,J62.0,X,Pneumoconiosis due to talc dust
category,CA60.0Y,- - - - Other specified pneumoconiosis due to dust containing silica,,True,,,0,,0,0,J62.8,X,Pneumoconiosis due to other dust containing silica
category,CA60.0Z,"- - - - Pneumoconiosis due to dust containing silica, unspecified",,True,,,0,,0,0,J62,X,Pneumoconiosis due to dust containing silica
category,CA60.1,- - - Coal worker pneumoconiosis,,True,D055008,Anthracosis,2,,0,0,J60,X,Coalworker pneumoconiosis
category,CA60.2,- - - Pneumoconiosis due to mineral fibres including asbestos,,True,D001195,Asbestosis,18,,0,0,J61,X,Pneumoconiosis due to asbestos and other mineral fibres
category,CA60.3,- - - Pneumoconiosis associated with tuberculosis,,True,D012830,Silicotuberculosis,6,,0,0,J65,X,Pneumoconiosis associated with tuberculosis
category,CA60.4,- - - Aluminosis of lung,,True,,,0,,0,0,J63.0,X,Aluminosis (of lung)
category,CA60.5,- - - Bauxite fibrosis of lung,,True,,,0,,0,0,J63.1,X,Bauxite fibrosis (of lung)
category,CA60.6,- - - Berylliosis,,True,D001607,Berylliosis,1,,0,0,J63.2,X,Berylliosis
category,CA60.7,- - - Graphite fibrosis of lung,,True,,,0,,0,0,J63.3,X,Graphite fibrosis (of lung)
category,CA60.8,- - - Siderosis,,True,D012806,Siderosis,39,,0,0,J63.4,X,Siderosis
category,CA60.9,- - - Stannosis,,True,,,0,,0,0,J63.5,X,Stannosis
category,CA60.Y,- - - Other specified pneumoconiosis,,True,,,0,,0,0,J60-J70,X,Lung diseases due to external agents
category,CA60.Z,"- - - Pneumoconiosis, unspecified",,True,,,0,,0,0,J60-J70,X,Lung diseases due to external agents
block,CA70-CA7Z,- - Pneumonitis,,False,,,0,,0,0,J60-J70,X,Lung diseases due to external agents
category,CA70,- - - Hypersensitivity pneumonitis due to organic dust,,False,D000542,"Alveolitis, Extrinsic Allergic (J67.9)",18,,0,0,J67,X,Hypersensitivity pneumonitis due to organic dust
category,CA70.0,- - - - Farmer lung,,True,D005203,Farmer's Lung,8,,0,0,J67.0,X,Farmer lung
category,CA70.1,- - - - Bagassosis,,True,,,0,,0,0,J67.1,X,Bagassosis
category,CA70.2,- - - - Bird fancier lung,,True,D001716,Bird Fancier's Lung,12,,0,0,J67.2,X,Bird fancier lung
category,CA70.3,- - - - Suberosis,,True,,,0,,0,0,J67.3,X,Suberosis
category,CA70.4,- - - - Malt worker lung,,True,,,0,,0,0,J67.4,X,Maltworker lung
category,CA70.5,- - - - Mushroom worker lung,,True,,,0,,0,0,J67.5,X,Mushroom-worker lung
category,CA70.6,- - - - Maple bark stripper lung,,True,,,0,,0,0,J67.6,X,Maple-bark-stripper lung
category,CA70.7,- - - - Air conditioner or humidifier lung,,True,,,0,,0,0,J67.7,X,Air-conditioner and humidifier lung
category,CA70.Y,- - - - Other specified hypersensitivity pneumonitis due to organic dust,,True,,,0,,0,0,J67.8,X,Hypersensitivity pneumonitis due to other organic dusts
category,CA70.Z,"- - - - Hypersensitivity pneumonitis due to organic dust, unspecified",,True,,,0,,0,0,J67,X,Hypersensitivity pneumonitis due to organic dust
category,CA71,- - - Pneumonitis due to solids and liquids,,False,,,0,,0,0,J69,X,Pneumonitis due to solids and liquids
category,CA71.0,- - - - Pneumonitis due to inhalation of food or vomit,,True,,,0,,0,0,J69.0,X,Pneumonitis due to food and vomit
category,CA71.1,- - - - Pneumonitis due to oils or essences,,True,,,0,,0,0,J69.1,X,Pneumonitis due to oils and essences
category,CA71.2,- - - - Pneumonitis due to aspiration of blood,,True,,,0,,0,0,J69,X,Pneumonitis due to solids and liquids
category,CA71.3,- - - - Lipoid pneumonitis,,True,,,0,,0,0,J69,X,Pneumonitis due to solids and liquids
category,CA71.Y,- - - - Other specified pneumonitis due to solids and liquids,,True,,,0,,0,0,J69.8,X,Pneumonitis due to other solids and liquids
category,CA71.Z,"- - - - Pneumonitis due to solids and liquids, unspecified",,True,,,0,,0,0,J69,X,Pneumonitis due to solids and liquids
category,CA72,- - - Mendelson syndrome,,True,,,0,,0,0,J95.4,X,Mendelson syndrome
category,CA7Y,- - - Other specified pneumonitis,,True,,,0,,0,0,J60-J70,X,Lung diseases due to external agents
category,CA7Z,"- - - Pneumonitis, unspecified",,True,,,0,,0,0,J60-J70,X,Lung diseases due to external agents
category,CA80,- - Airway disease due to specific organic dust,,False,,,0,,0,0,J66,X,Airway disease due to specific organic dust
category,CA80.0,- - - Byssinosis,,True,D002095,Byssinosis,5,,0,0,J66.0,X,Byssinosis
category,CA80.1,- - - Flax-dresser disease,,True,,,0,,0,0,J66.1,X,Flax-dresser disease
category,CA80.2,- - - Cannabinosis,,True,,,0,,0,0,J66.2,X,Cannabinosis
category,CA80.Y,- - - Other specified airway disease due to specific organic dust,,True,,,0,,0,0,J66.8,X,Airway disease due to other specific organic dusts
category,CA80.Z,"- - - Airway disease due to specific organic dust, unspecified",,True,,,0,,0,0,J66,X,Airway disease due to specific organic dust
category,CA81,"- - Respiratory conditions due to inhalation of chemicals, gases, fumes or vapours",,False,,,0,,0,0,J68,X,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours"
category,CA81.0,"- - - Bronchitis or pneumonitis due to chemicals, gases, fumes or vapours",,True,,,0,,0,0,J68.0,X,"Bronchitis and pneumonitis due to chemicals, gases, fumes and vapours"
category,CA81.1,"- - - Pulmonary oedema due to chemicals, gases, fumes or vapours",,True,,,0,,0,0,J68.1,X,"Pulmonary oedema due to chemicals, gases, fumes and vapours"
category,CA81.2,"- - - Upper respiratory inflammation due to chemicals, gases, fumes or vapours, not elsewhere classified",,True,,,0,,0,0,J68.2,X,"Upper respiratory inflammation due to chemicals, gases, fumes and vapours, not elsewhere classified"
category,CA81.Y,"- - - Other specified respiratory conditions due to inhalation of chemicals, gases, fumes or vapours",,True,,,0,,0,0,J68.8,X,"Other respiratory conditions due to chemicals, gases, fumes and vapours"
category,CA81.Z,"- - - Respiratory conditions due to inhalation of chemicals, gases, fumes or vapours, unspecified",,True,,,0,,0,0,J68,X,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours"
category,CA82,- - Respiratory conditions due to other external agents,,False,,,0,,0,0,J70,X,Respiratory conditions due to other external agents
category,CA82.0,- - - Acute pulmonary manifestations due to radiation,,True,D017564,Radiation Pneumonitis,9,,0,0,J70.0,X,Acute pulmonary manifestations due to radiation
category,CA82.1,- - - Chronic or other pulmonary manifestations due to radiation,,True,,,0,,0,0,J70.1,X,Chronic and other pulmonary manifestations due to radiation
category,CA82.2,- - - Acute drug-induced interstitial lung disorders,,True,,,0,,0,0,J70.2,X,Acute drug-induced interstitial lung disorders
category,CA82.3,- - - Chronic drug-induced interstitial lung disorders,,True,,,0,,0,0,J70.3,X,Chronic drug-induced interstitial lung disorders
category,CA82.4,- - - Aspergillus-induced allergic or hypersensitivity conditions,,True,,,0,,0,0,B44.1,I,Other pulmonary aspergillosis
category,CA82.Y,- - - Other specified respiratory conditions due to other external agents,,True,,,0,,0,0,J70.8,X,Respiratory conditions due to other specified external agents
category,CA82.Z,"- - - Respiratory conditions due to other external agents, unspecified",,True,,,0,,0,0,J70,X,Respiratory conditions due to other external agents
category,CA8Y,- - Other specified lung diseases due to external agents,,True,,,0,,0,0,J60-J70,X,Lung diseases due to external agents
category,CA8Z,"- - Lung diseases due to external agents, unspecified",,True,,,0,,0,0,J60-J70,X,Lung diseases due to external agents
block,CB00-CB0Z,- Respiratory diseases principally affecting the lung interstitium,,False,,,0,,0,1,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB00,- - Acute respiratory distress syndrome,,True,D012128,"Respiratory Distress Syndrome, Adult (J80)",79,Respiratory distress syndrome,6,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB01,- - Pulmonary oedema,,True,D011654,Pulmonary Edema,93,,0,0,J81,X,Pulmonary oedema
category,CB02,- - Pulmonary eosinophilia,,False,D011657,Pulmonary Eosinophilia,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB02.0,- - - Asthmatic pulmonary eosinophilia,,True,,,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB02.1,- - - Idiopathic eosinophilic pneumonitis,,False,,,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB02.10,- - - - Idiopathic acute eosinophilic pneumonitis,,True,,,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB02.11,- - - - Idiopathic chronic eosinophilic pneumonitis,,True,,,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB02.1Y,- - - - Other specified idiopathic eosinophilic pneumonitis,,True,,,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB02.1Z,"- - - - Idiopathic eosinophilic pneumonitis, unspecified",,True,,,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB02.2,- - - Tropical pulmonary eosinophilia,,True,,,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB02.Y,- - - Other specified pulmonary eosinophilia,,True,,,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB02.Z,"- - - Pulmonary eosinophilia, unspecified",,True,,,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB03,- - Idiopathic interstitial pneumonitis,,False,,,0,,0,0,J84,X,Other interstitial pulmonary diseases
category,CB03.0,- - - Acute interstitial pneumonitis,,True,,,0,,0,0,J84.8,X,Other specified interstitial pulmonary diseases
category,CB03.1,- - - Combined pulmonary fibrosis and emphysema syndrome,,True,,,0,,0,0,J84.8,X,Other specified interstitial pulmonary diseases
category,CB03.2,- - - Cryptogenic organizing pneumonitis,,True,,,0,,0,0,J84.1,X,Other interstitial pulmonary diseases with fibrosis
category,CB03.3,- - - Desquamative interstitial pneumonitis,,True,,,0,,0,0,J84.1,X,Other interstitial pulmonary diseases with fibrosis
category,CB03.4,- - - Idiopathic pulmonary fibrosis,,True,D054990,Idiopathic Pulmonary Fibrosis,61,Idiopathic pulmonary fibrosis,2,0,J84.1,X,Other interstitial pulmonary diseases with fibrosis
category,CB03.5,- - - Lymphoid interstitial pneumonia,,True,,,0,,0,0,J84.8,X,Other specified interstitial pulmonary diseases
category,CB03.6,- - - Respiratory bronchiolitis - interstitial lung disease,,True,,,0,,0,0,J84,X,Other interstitial pulmonary diseases
category,CB03.Y,- - - Other specified idiopathic interstitial pneumonitis,,True,,,0,,0,0,J84.8,X,Other specified interstitial pulmonary diseases
category,CB03.Z,"- - - Idiopathic interstitial pneumonitis, unspecified",,True,,,0,,0,0,J84,X,Other interstitial pulmonary diseases
category,CB04,- - Primary interstitial lung diseases specific to infancy or childhood,,False,,,0,,0,0,J84.8,X,Other specified interstitial pulmonary diseases
category,CB04.0,- - - Diffuse pulmonary developmental disorders,,True,,,0,,0,0,J84.8,X,Other specified interstitial pulmonary diseases
category,CB04.1,- - - Pulmonary lymphatic dysplasia syndromes,,True,,,0,,0,0,J84.8,X,Other specified interstitial pulmonary diseases
category,CB04.2,- - - Disorders of surfactant metabolism,,True,D012127,"Respiratory Distress Syndrome, Newborn",73,Neonatal respiratory distress,1,0,J84.8,X,Other specified interstitial pulmonary diseases
category,CB04.3,- - - Alveolar or peri-alveolar conditions,,False,,,0,,0,0,J84.0,X,Alveolar and parietoalveolar conditions
category,CB04.30,- - - - Idiopathic pulmonary haemosiderosis,,True,,,0,,0,0,J84.0,X,Alveolar and parietoalveolar conditions
category,CB04.31,- - - - Pulmonary alveolar proteinosis,,True,D011649,Pulmonary Alveolar Proteinosis,0,,0,0,J84.0,X,Alveolar and parietoalveolar conditions
category,CB04.3Y,- - - - Other specified alveolar or peri-alveolar conditions,,True,,,0,,0,0,J84.0,X,Alveolar and parietoalveolar conditions
category,CB04.3Z,"- - - - Alveolar or peri-alveolar conditions, unspecified",,True,,,0,,0,0,J84.0,X,Alveolar and parietoalveolar conditions
category,CB04.4,- - - Pulmonary capillaritis,,True,,,0,,0,0,J84.8,X,Other specified interstitial pulmonary diseases
category,CB04.5,- - - Brain-lung-thyroid syndrome,,True,,,0,,0,0,J84.8,X,Other specified interstitial pulmonary diseases
category,CB04.6,- - - Chronic pneumonitis of infancy,,True,,,0,,0,0,J84.8,X,Other specified interstitial pulmonary diseases
category,CB04.7,- - - Neuroendocrine cell hyperplasia of infancy,,True,,,0,,0,0,J84.8,X,Other specified interstitial pulmonary diseases
category,CB04.Y,- - - Other specified primary interstitial lung diseases specific to infancy or childhood,,True,,,0,,0,0,J84.8,X,Other specified interstitial pulmonary diseases
category,CB04.Z,"- - - Primary interstitial lung diseases specific to infancy or childhood, unspecified",,True,,,0,,0,0,J84.8,X,Other specified interstitial pulmonary diseases
category,CB05,- - Interstitial lung diseases associated with systemic diseases,,False,,,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB05.0,- - - Diffuse alveolar damage,,True,,,0,,0,0,J84.0,X,Alveolar and parietoalveolar conditions
category,CB05.1,- - - Interstitial lung diseases associated with connective tissue diseases,,True,,,0,,0,0,J99.1,X,Respiratory disorders in other diffuse connective tissue disorders
category,CB05.2,- - - Interstitial lung diseases associated with granulomatous diseases,,True,,,0,,0,0,J99.8,X,Respiratory disorders in other diseases classified elsewhere
category,CB05.3,- - - Interstitial lung diseases associated with metabolic diseases,,True,,,0,,0,0,J99.8,X,Respiratory disorders in other diseases classified elsewhere
category,CB05.4,- - - Interstitial lung diseases associated with systemic vasculitides,,False,,,0,,0,0,J99.8,X,Respiratory disorders in other diseases classified elsewhere
category,CB05.40,- - - - Respiratory disorders in Churg-Strauss syndrome,,True,,,0,,0,0,J99.8,X,Respiratory disorders in other diseases classified elsewhere
category,CB05.41,- - - - Respiratory disorders in microscopic polyangiitis,,True,,,0,,0,0,J99.8,X,Respiratory disorders in other diseases classified elsewhere
category,CB05.4Y,- - - - Other specified interstitial lung diseases associated with systemic vasculitides,,True,,,0,,0,0,J99.8,X,Respiratory disorders in other diseases classified elsewhere
category,CB05.4Z,"- - - - Interstitial lung diseases associated with systemic vasculitides, unspecified",,True,,,0,,0,0,J99.8,X,Respiratory disorders in other diseases classified elsewhere
category,CB05.5,- - - Secondary pulmonary haemosiderosis,,True,,,0,,0,0,J99.8,X,Respiratory disorders in other diseases classified elsewhere
category,CB05.Y,- - - Other specified interstitial lung diseases associated with systemic diseases,,True,,,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB05.Z,"- - - Interstitial lung diseases associated with systemic diseases, unspecified",,True,,,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB06,- - Pulmonary alveolar microlithiasis,,True,,,0,,0,0,J84.9,X,"Interstitial pulmonary disease, unspecified"
category,CB07,- - Lymphangioleiomyomatosis,,False,D018192,Lymphangioleiomyomatosis,0,,0,0,J84.9,X,"Interstitial pulmonary disease, unspecified"
category,CB07.0,- - - Lymphangioleiomyomatosis associated with tuberous sclerosis complex,,True,,,0,,0,0,J84.9,X,"Interstitial pulmonary disease, unspecified"
category,CB07.1,- - - Sporadic lymphangioleiomyomatosis,,True,,,0,,0,0,J84.9,X,"Interstitial pulmonary disease, unspecified"
category,CB07.Y,- - - Other specified lymphangioleiomyomatosis,,True,,,0,,0,0,J84.9,X,"Interstitial pulmonary disease, unspecified"
category,CB07.Z,"- - - Lymphangioleiomyomatosis, unspecified",,True,,,0,,0,0,J84.9,X,"Interstitial pulmonary disease, unspecified"
category,CB0Y,- - Other specified respiratory diseases principally affecting the lung interstitium,,True,,,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
category,CB0Z,"- - Respiratory diseases principally affecting the lung interstitium, unspecified",,True,,,0,,0,0,J80-J84,X,Other respiratory diseases principally affecting the interstitium
block,CB20-CB2Z,"- Pleural, diaphragm or mediastinal disorders",,False,,,0,,0,1,,,
category,CB20,- - Pleural plaque,,True,,,0,,0,0,J92,X,Pleural plaque
category,CB21,- - Pneumothorax,,False,D011030,Pneumothorax (J93.9),68,,0,0,J93,X,Pneumothorax
category,CB21.0,- - - Spontaneous tension pneumothorax,,True,,,0,,0,0,J93.0,X,Spontaneous tension pneumothorax
category,CB21.1,- - - Other spontaneous pneumothorax,,True,,,0,,0,0,J93.1,X,Other spontaneous pneumothorax
category,CB21.Y,- - - Other specified pneumothorax,,True,,,0,,0,0,J93.8,X,Other pneumothorax
category,CB21.Z,"- - - Pneumothorax, unspecified",,True,,,0,,0,0,J93,X,Pneumothorax
category,CB22,"- - Diseases of mediastinum, not elsewhere classified",,False,,,0,,0,0,J98.5,X,"Diseases of mediastinum, not elsewhere classified"
category,CB22.0,- - - Fibrosing mediastinitis,,True,,,0,,0,0,J98.5,X,"Diseases of mediastinum, not elsewhere classified"
category,CB22.Y,"- - - Other specified diseases of mediastinum, not elsewhere classified",,True,,,0,,0,0,J98.5,X,"Diseases of mediastinum, not elsewhere classified"
category,CB22.Z,"- - - Diseases of mediastinum, not elsewhere classified, unspecified",,True,,,0,,0,0,J98.5,X,"Diseases of mediastinum, not elsewhere classified"
category,CB23,- - Disorders of diaphragm,,True,,,0,,0,0,J98.6,X,Disorders of diaphragm
category,CB24,- - Chylous effusion,,True,,,0,,0,0,J94.0,X,Chylous effusion
category,CB25,- - Fibrothorax,,True,,,0,,0,0,J94.1,X,Fibrothorax
category,CB26,- - Haemothorax,,True,D006491,Hemothorax,22,,0,0,J94.2,X,Haemothorax
category,CB27,- - Pleural effusion,,True,D010996,Pleural Effusion,64,Pleural disease,1,0,J90,X,"Pleural effusion, not elsewhere classified"
category,CB2Y,"- - Other specified pleural, diaphragm or mediastinal disorders",,True,,,0,,0,0,X,X,Diseases of the respiratory system
category,CB2Z,"- - Pleural, diaphragm or mediastinal disorders, unspecified",,True,,,0,,0,0,X,X,Diseases of the respiratory system
category,CB40,- Certain diseases of the respiratory system,,False,D016535,Bronchial Hyperreactivity,36,bronchial hyperreactivity,3,0,J95-J99,X,Other diseases of the respiratory system
category,CB40.0,- - Ciliary dyskinesia,,True,,,0,,0,0,J95-J99,X,Other diseases of the respiratory system
category,CB40.1,- - Young syndrome,,True,,,0,,0,0,J95-J99,X,Other diseases of the respiratory system
category,CB40.2,- - Pulmonary collapse,,True,D001261,Pulmonary Atelectasis,39,,0,0,J98.1,X,Pulmonary collapse
category,CB40.3,- - Interstitial emphysema,,True,D008478,Mediastinal Emphysema,61,,0,0,J98.2,X,Interstitial emphysema
category,CB40.4,- - Compensatory emphysema,,True,,,0,,0,0,J98.3,X,Compensatory emphysema
category,CB40.Y,- - Other specified diseases of the respiratory system,CB40,True,D016535,Bronchial Hyperreactivity,0,Chronic bronchopulmonary disease,1,0,J95-J99,X,Other diseases of the respiratory system
category,CB41,- Respiratory failure,,False,D012131,Respiratory Insufficiency (J96.9),149,Respiratory failure,1,0,J96,X,"Respiratory failure, not elsewhere classified"
category,CB41.0,- - Acute respiratory failure,,False,,,0,,0,0,J96.0,X,Acute respiratory failure
category,CB41.00,"- - - Acute respiratory failure, Type I",,True,,,0,,0,0,J96.0,X,Acute respiratory failure
category,CB41.01,"- - - Acute respiratory failure, Type II",,True,,,0,,0,0,J96.0,X,Acute respiratory failure
category,CB41.0Z,"- - - Acute respiratory failure, unspecified",,True,,,0,,0,0,J96.0,X,Acute respiratory failure
category,CB41.1,- - Chronic respiratory failure,,False,,,0,,0,0,J96.1,X,Chronic respiratory failure
category,CB41.10,"- - - Chronic respiratory failure, Type I",,True,,,0,,0,0,J96.1,X,Chronic respiratory failure
category,CB41.11,"- - - Chronic respiratory failure, Type II",,True,,,0,,0,0,J96.1,X,Chronic respiratory failure
category,CB41.1Z,"- - - Chronic respiratory failure, unspecified",,True,,,0,,0,0,J96.1,X,Chronic respiratory failure
category,CB41.2,"- - Respiratory failure, unspecified as acute or chronic",,False,,,0,,0,0,J96.9,X,"Respiratory failure, unspecified"
category,CB41.20,"- - - Respiratory failure, unspecified, Type I",,True,,,0,,0,0,J96.9,X,"Respiratory failure, unspecified"
category,CB41.21,"- - - Respiratory failure, unspecified, Type II",,True,,,0,,0,0,J96.9,X,"Respiratory failure, unspecified"
category,CB41.2Z,"- - - Respiratory failure, unspecified",,True,,,0,,0,0,J96.9,X,"Respiratory failure, unspecified"
block,CB60-CB64,- Postprocedural disorders of the respiratory system,,False,,,0,,0,0,J95,X,"Postprocedural respiratory disorders, not elsewhere classified"
category,CB60,- - Tracheostomy malfunction,,True,,,0,,0,0,J95.0,X,Tracheostomy malfunction
category,CB61,- - Chronic pulmonary insufficiency following surgery,,True,,,0,,0,0,J95.3,X,Chronic pulmonary insufficiency following surgery
category,CB62,- - Postprocedural subglottic stenosis,,True,,,0,,0,0,J95.5,X,Postprocedural subglottic stenosis
category,CB63,- - Postprocedural stenosis of the trachea,,True,,,0,,0,0,J95,X,"Postprocedural respiratory disorders, not elsewhere classified"
category,CB64,- - Transfusion related acute lung injury,,True,,,0,,0,0,J95,X,"Postprocedural respiratory disorders, not elsewhere classified"
category,CB7Z,"- Diseases of the respiratory system, unspecified",,True,,,0,,0,0,X,X,Diseases of the respiratory system
,,,,,,,,,,,,,
chapter,MA00-MH2Y,"Symptoms, signs or clinical findings, not elsewhere classified",,False,,,0,,0,1,,,
block,MD10-MD6Y,"- Symptoms, signs or clinical findings of the respiratory system",,False,,,0,,0,1,R09,XVIII,Other symptoms and signs involving the circulatory and respiratory systems
block,MD10-MD3Y,- - Symptoms or signs involving the respiratory system,,False,,,0,,0,1,R09,XVIII,Other symptoms and signs involving the circulatory and respiratory systems
category,MD10,- - - Abnormal sputum,MD12,True,D003371,Cough,113,Expectorant,1,0,R09.3,XVIII,Abnormal sputum
category,MD11,- - - Abnormalities of breathing,,False,,,0,,0,0,R06,XVIII,Abnormalities of breathing
category,MD11.0,- - - - Apnoea,,True,,,0,,0,0,R06,XVIII,Abnormalities of breathing
category,MD11.1,- - - - Asphyxia,,True,,,0,,0,0,R09.0,XVIII,Asphyxia
category,MD11.2,- - - - Ataxic breathing,,True,,,0,,0,0,R06,XVIII,Abnormalities of breathing
category,MD11.3,- - - - Breath holding,,True,,,0,,0,0,R06,XVIII,Abnormalities of breathing
category,MD11.4,- - - - Sleep related Cheyne-Stokes respiration,,True,D002639,Cheyne-Stokes Respiration,20,,0,0,R06.3,XVIII,Periodic breathing
category,MD11.5,- - - - Dyspnoea,,True,D004417,Dyspnea,119,,0,0,R06.0,XVIII,Dyspnoea
category,MD11.6,- - - - Hiccough,,True,,,0,,0,0,R06.6,XVIII,Hiccough
category,MD11.7,- - - - Hyperventilation,,True,D006985,Hyperventilation,83,,0,0,R06.4,XVIII,Hyperventilation
category,MD11.8,- - - - Mouth breathing,,False,D009058,Mouth breathing,21,,0,0,R06.5,XVIII,Mouth breathing
category,MD11.80,- - - - - Stertor,,True,,,0,,0,0,R06.5,XVIII,Mouth breathing
category,MD11.8Y,- - - - - Other specified mouth breathing,,True,,,0,,0,0,R06.5,XVIII,Mouth breathing
category,MD11.8Z,"- - - - - Mouth breathing, unspecified",,True,,,0,,0,0,R06.5,XVIII,Mouth breathing
category,MD11.9,- - - - Nasal congestion,,True,D015508,Nasal Obstruction,47,Nasal congestion,3,0,R06,XVIII,Abnormalities of breathing
category,MD11.A,- - - - Sneezing,,True,,,0,,0,0,R06.7,XVIII,Sneezing
category,MD11.B,- - - - Stridor,,True,,,0,,0,0,R06.1,XVIII,Stridor
