MeSH Disease ID	MeSH Disease Term
D003616	Dandy-Walker Syndrome
D007644	Darier Disease
D003635	De Lange Syndrome
D053684	De Quervain Disease
D054062	Deaf-Blind Disorders
D003638	Deafness
D003643	Death
D003645	Death, Sudden
D016757	Death, Sudden, Cardiac
D003649	Decalcification, Pathologic
D049248	Decapitation
D003655	Decerebrate State
D003665	Decompression Sickness
D003677	Deficiency Diseases
D003680	Deglutition Disorders
D003681	Dehydration
D055191	Delayed Emergence from Anesthesia
D051799	Delayed Graft Function
D003693	Delirium
D019965	Delirium, Dementia, Amnestic, Cognitive Disorders
D006800	Deltaretrovirus Infections
D003704	Dementia
D015161	Dementia, Multi-Infarct
D015140	Dementia, Vascular
D020278	Demyelinating Autoimmune Diseases, CNS
D003711	Demyelinating Diseases
D054740	Dendritic Cell Sarcoma, Follicular
D003715	Dengue
D019595	Dengue Hemorrhagic Fever
D003719	Dens in Dente
D057973	Dent Disease
D003728	Dental Calculus
D003731	Dental Caries
D003741	Dental Deposits
D003744	Dental Enamel Hypoplasia
D003750	Dental Fissures
D003751	Dental Fistula
D003763	Dental Leakage
D003769	Dental Occlusion, Traumatic
D003773	Dental Plaque
D003784	Dental Pulp Calcification
D003788	Dental Pulp Diseases
D003789	Dental Pulp Exposure
D003790	Dental Pulp Necrosis
D003803	Dentigerous Cyst
D003805	Dentin Dysplasia
D003807	Dentin Sensitivity
D003809	Dentin, Secondary
D003811	Dentinogenesis Imperfecta
D030321	Denys-Drash Syndrome
D003859	Dependent Personality Disorder
D019052	Depression, Postpartum
D003866	Depressive Disorder
D003865	Depressive Disorder, Major
D003872	Dermatitis
D003874	Dermatitis Herpetiformis
D017449	Dermatitis, Allergic Contact
D003876	Dermatitis, Atopic
D003877	Dermatitis, Contact
D003873	Dermatitis, Exfoliative
D017453	Dermatitis, Irritant
D009783	Dermatitis, Occupational
D019557	Dermatitis, Perioral
D017454	Dermatitis, Photoallergic
D017484	Dermatitis, Phototoxic
D012628	Dermatitis, Seborrheic
D011040	Dermatitis, Toxicodendron
D018223	Dermatofibrosarcoma
D003881	Dermatomycoses
D003882	Dermatomyositis
D003884	Dermoid Cyst
D058405	Desmoplastic Small Round Cell Tumor
D002658	Developmental Disabilities
D003914	Dextrocardia
D004062	DiGeorge Syndrome
D048909	Diabetes Complications
D003919	Diabetes Insipidus
D018500	Diabetes Insipidus, Nephrogenic
D020790	Diabetes Insipidus, Neurogenic
D003920	Diabetes Mellitus
D003921	Diabetes Mellitus, Experimental
D003923	Diabetes Mellitus, Lipoatrophic
D003922	Diabetes Mellitus, Type 1
D003924	Diabetes Mellitus, Type 2
D016640	Diabetes, Gestational
D003925	Diabetic Angiopathies
D058065	Diabetic Cardiomyopathies
D003926	Diabetic Coma
D017719	Diabetic Foot
D016883	Diabetic Ketoacidosis
D003928	Diabetic Nephropathies
D003929	Diabetic Neuropathies
D003930	Diabetic Retinopathy
D003963	Diaper Rash
D003965	Diaphragmatic Eventration
D004011	Dicrocoeliasis
D004022	Dictyocaulus Infections
D004030	Dientamoebiasis
D020833	Diffuse Axonal Injury
D002549	Diffuse Cerebral Sclerosis of Schilder
D055956	Diffuse Neurofibrillary Tangles with Calcification
D004065	Digestive System Abnormalities
D016154	Digestive System Fistula
D004067	Digestive System Neoplasms
D054067	Dihydropyrimidine Dehydrogenase Deficiency
D004108	Dilatation, Pathologic
D004154	Dipetalonema Infections
D004165	Diphtheria
D004169	Diphyllobothriasis
D004172	Diplopia
D004184	Dirofilariasis
D015299	Discitis
D021922	Discrete Subaortic Stenosis
D004194	Disease
D004198	Disease Susceptibility
D004200	Diseases in Twins
D004204	Dislocations
D006970	Disorders of Excessive Somnolence
D012734	Disorders of Sex Development
D004211	Disseminated Intravascular Coagulation
D004213	Dissociative Disorders
D049310	Distal Myopathies
D004216	Distemper
D053207	Diurnal Enuresis
D004238	Diverticulitis
D004239	Diverticulitis, Colonic
D043963	Diverticulosis, Colonic
D045723	Diverticulosis, Esophageal
D004240	Diverticulum
D004241	Diverticulum, Colon
D004936	Diverticulum, Esophageal
D013273	Diverticulum, Stomach
D004244	Dizziness
D004310	Double Outlet Right Ventricle
D004314	Down Syndrome
D004320	Dracunculiasis
D004332	Drowning
D003875	Drug Eruptions
D004342	Drug Hypersensitivity
D064420	Drug Toxicity
D056486	Drug-Induced Liver Injury
D056487	Drug-Induced Liver Injury, Chronic
D015352	Dry Eye Syndromes
D004368	Dry Socket
D004370	Duane Retraction Syndrome
D004374	Ductus Arteriosus, Patent
D004377	Dumping Syndrome
D004378	Duodenal Diseases
D004379	Duodenal Neoplasms
D004380	Duodenal Obstruction
D004381	Duodenal Ulcer
D004382	Duodenitis
D004383	Duodenogastric Reflux
D004387	Dupuytren Contracture
D004392	Dwarfism
D004393	Dwarfism, Pituitary
D004401	Dysarthria
D004402	Dysautonomia, Familial
D004403	Dysentery
D004404	Dysentery, Amebic
D004405	Dysentery, Bacillary
D004406	Dysgammaglobulinemia
D004407	Dysgerminoma
D004408	Dysgeusia
D019871	Dyskeratosis Congenita
D004409	Dyskinesia, Drug-Induced
D020820	Dyskinesias
D004410	Dyslexia
D004411	Dyslexia, Acquired
D050171	Dyslipidemias
D004412	Dysmenorrhea
D004413	Dysostoses
D004414	Dyspareunia
D055154	Dysphonia
D004416	Dysplastic Nevus Syndrome
D004417	Dyspnea
D004418	Dyspnea, Paroxysmal
D020920	Dyssomnias
D019263	Dysthymic Disorder
D004420	Dystocia
D004421	Dystonia
D004422	Dystonia Musculorum Deformans
D020821	Dystonic Disorders
D004426	Ear Deformities, Acquired
D004427	Ear Diseases
D004428	Ear Neoplasms
D004433	Earache
D001068	Eating Disorders
D004437	Ebstein Anomaly
D004438	Ecchymosis
D004443	Echinococcosis
D004444	Echinococcosis, Hepatic
D004445	Echinococcosis, Pulmonary
D004451	Echinostomiasis
D004454	Echolalia
D004457	Echovirus Infections
D004461	Eclampsia
D004473	Ecthyma
D004474	Ecthyma, Contagious
D004476	Ectodermal Dysplasia
D053358	Ectodermal Dysplasia 1, Anhidrotic
D053359	Ectodermal Dysplasia 3, Anhidrotic
D004478	Ectoparasitic Infestations
D004479	Ectopia Lentis
D004480	Ectromelia
D004482	Ectromelia, Infectious
D004483	Ectropion
D004485	Eczema
D011146	Eczema, Dyshidrotic
D004489	Edema, Cardiac
D021181	Egg Hypersensitivity
D004535	Ehlers-Danlos Syndrome
D016873	Ehrlichiosis
D004541	Eisenmenger Complex
D004556	Electric Injuries
D004604	Elephantiasis
D004605	Elephantiasis, Filarial
D019960	Elimination Disorders
D004612	Elliptocytosis, Hereditary
D004613	Ellis-Van Creveld Syndrome
D004617	Embolism
D004618	Embolism, Air
D004619	Embolism, Amniotic Fluid
D017700	Embolism, Cholesterol
D004620	Embolism, Fat
D019320	Embolism, Paradoxical
D020964	Embryo Loss
D004630	Emergencies
D004646	Emphysema
D041882	Emphysematous Cholecystitis
D004652	Empty Sella Syndrome
D004653	Empyema
D016724	Empyema, Pleural
D013354	Empyema, Subdural
D004654	Empyema, Tuberculous
D004660	Encephalitis
D004671	Encephalitis, Arbovirus
D004670	Encephalitis, California
D020803	Encephalitis, Herpes Simplex
D004672	Encephalitis, Japanese
D004674	Encephalitis, St. Louis
D004675	Encephalitis, Tick-Borne
D020804	Encephalitis, Varicella Zoster
D018792	Encephalitis, Viral
D016890	Encephalitozoonosis
D004677	Encephalocele
D004678	Encephalomalacia
D004679	Encephalomyelitis
D004673	Encephalomyelitis, Acute Disseminated
D004681	Encephalomyelitis, Autoimmune, Experimental
D020242	Encephalomyelitis, Eastern Equine
D004682	Encephalomyelitis, Enzootic Porcine
D004683	Encephalomyelitis, Equine
D004685	Encephalomyelitis, Venezuelan Equine
D020241	Encephalomyelitis, Western Equine
D016643	Encephalopathy, Bovine Spongiform
D004687	Enchondromatosis
D004688	Encopresis
D058625	End Stage Liver Disease
D004692	Endarteritis
D004694	Endocardial Cushion Defects
D004695	Endocardial Fibroelastosis
D004696	Endocarditis
D004697	Endocarditis, Bacterial
D004698	Endocarditis, Subacute Bacterial
D004701	Endocrine Gland Neoplasms
D018240	Endodermal Sinus Tumor
D057867	Endoleak
D018159	Endolymphatic Hydrops
D004714	Endometrial Hyperplasia
D016889	Endometrial Neoplasms
D036821	Endometrial Stromal Tumors
D004715	Endometriosis
D004716	Endometritis
D004719	Endomyocardial Fibrosis
D009877	Endophthalmitis
D019446	Endotoxemia
D015841	Enophthalmos
D017189	Enoplida Infections
D004749	Entamoebiasis
D004751	Enteritis
D004753	Enteritis, Transmissible, of Turkeys
D004756	Enterobacteriaceae Infections
D017229	Enterobiasis
D004760	Enterocolitis
D020345	Enterocolitis, Necrotizing
D044504	Enterocolitis, Neutropenic
D004761	Enterocolitis, Pseudomembranous
D004767	Enterotoxemia
D004769	Enterovirus Infections
D004774	Entropion
D004775	Enuresis
D018876	Environmental Illness
D016583	Enzootic Bovine Leukosis
D004802	Eosinophilia
D016603	Eosinophilia-Myalgia Syndrome
D057765	Eosinophilic Esophagitis
D004803	Eosinophilic Granuloma
D004806	Ependymoma
D004810	Ephemeral Fever
D004814	Epidermal Cyst
D004819	Epidermodysplasia Verruciformis
D004820	Epidermolysis Bullosa
D016107	Epidermolysis Bullosa Acquisita
D016108	Epidermolysis Bullosa Dystrophica
D016110	Epidermolysis Bullosa Simplex
D016109	Epidermolysis Bullosa, Junctional
D004823	Epididymitis
D020802	Epidural Abscess
D015174	Epidural Neoplasms
D004826	Epiglottitis
D017036	Epilepsia Partialis Continua
D004831	Epilepsies, Myoclonic
D004828	Epilepsies, Partial
D004827	Epilepsy
D004832	Epilepsy, Absence
D020936	Epilepsy, Benign Neonatal
D017029	Epilepsy, Complex Partial
D017034	Epilepsy, Frontal Lobe
D004829	Epilepsy, Generalized
D020938	Epilepsy, Partial, Motor
D020937	Epilepsy, Partial, Sensory
D004834	Epilepsy, Post-Traumatic
D020195	Epilepsy, Reflex
D019305	Epilepsy, Rolandic
D004833	Epilepsy, Temporal Lobe
D004830	Epilepsy, Tonic-Clonic
D004839	Epiphyses, Slipped
D019773	Epiretinal Membrane
D004842	Epispadias
D004844	Epistaxis
D020031	Epstein-Barr Virus Infections
D004859	Equine Infectious Anemia
D004863	Equinus Deformity
D031249	Erdheim-Chester Disease
D007172	Erectile Dysfunction
D004881	Ergotism
D004886	Erysipelas
D004887	Erysipeloid
D004889	Erysipelothrix Infections
D004890	Erythema
D015787	Erythema Chronicum Migrans
D004891	Erythema Induratum
D016731	Erythema Infectiosum
D004892	Erythema Multiforme
D004893	Erythema Nodosum
D004894	Erythrasma
D004899	Erythroblastosis, Fetal
D056266	Erythrokeratodermia Variabilis
D004916	Erythromelalgia
D004927	Escherichia coli Infections
D004931	Esophageal Achalasia
D004933	Esophageal Atresia
D004934	Esophageal Cyst
D004935	Esophageal Diseases
D004937	Esophageal Fistula
D015154	Esophageal Motility Disorders
D004938	Esophageal Neoplasms
D004939	Esophageal Perforation
D015155	Esophageal Spasm, Diffuse
D004940	Esophageal Stenosis
D004932	Esophageal and Gastric Varices
D004941	Esophagitis
D004942	Esophagitis, Peptic
D004948	Esotropia
D020329	Essential Tremor
D018304	Esthesioneuroblastoma, Olfactory
D015521	Ethmoid Sinusitis
D005058	Eunuchism
D005067	Euthyroid Sick Syndromes
D005076	Exanthema
D005077	Exanthema Subitum
D017889	Exfoliation Syndrome
D005084	Exhibitionism
D010188	Exocrine Pancreatic Insufficiency
D005094	Exophthalmos
D005096	Exostoses
D005097	Exostoses, Multiple Hereditary
D005099	Exotropia
D058734	Exsanguination
D054908	Extensively Drug-Resistant Tuberculosis
D005119	Extravasation of Diagnostic and Therapeutic Materials
D005124	Eye Abnormalities
D005126	Eye Burns
D015785	Eye Diseases, Hereditary
D005129	Eye Foreign Bodies
D005130	Eye Hemorrhage
D015817	Eye Infections
D015818	Eye Infections, Bacterial
D015821	Eye Infections, Fungal
D015822	Eye Infections, Parasitic
D015828	Eye Infections, Viral
D005131	Eye Injuries
D015807	Eye Injuries, Penetrating
D005132	Eye Manifestations
D005134	Eye Neoplasms
D058447	Eye Pain
D005141	Eyelid Diseases
D005142	Eyelid Neoplasms
D000795	Fabry Disease
D005146	Facial Asymmetry
D005148	Facial Dermatoses
D005150	Facial Hemiatrophy
D005151	Facial Injuries
D005153	Facial Neoplasms
D005155	Facial Nerve Diseases
D020220	Facial Nerve Injuries
D005156	Facial Neuralgia
D005157	Facial Pain
D005158	Facial Paralysis
D019066	Facies
D005162	Factitious Disorders
D005166	Factor V Deficiency
D005168	Factor VII Deficiency
D005171	Factor X Deficiency
D005173	Factor XI Deficiency
D005175	Factor XII Deficiency
D005177	Factor XIII Deficiency
D055111	Failed Back Surgery Syndrome
D005183	Failure to Thrive
D005184	Fallopian Tube Diseases
D005185	Fallopian Tube Neoplasms
D010505	Familial Mediterranean Fever
D005199	Fanconi Anemia
D005198	Fanconi Syndrome
D005203	Farmer's Lung
D005207	Fasciculation
D005208	Fasciitis
D019115	Fasciitis, Necrotizing
D036981	Fasciitis, Plantar
D005211	Fascioliasis
D005213	Fascioloidiasis
D005218	Fat Necrosis
D015673	Fatigue Syndrome, Chronic
D005234	Fatty Liver
D005235	Fatty Liver, Alcoholic
D005236	Favism
D005244	Fecal Impaction
D005242	Fecal Incontinence
D019959	Feeding and Eating Disorders of Childhood
D016181	Feline Acquired Immunodeficiency Syndrome
D016766	Feline Infectious Peritonitis
D005254	Feline Panleukopenia
D005258	Felty's Syndrome
D053716	Female Athlete Triad Syndrome
D052776	Female Urogenital Diseases
D057925	Femoracetabular Impingement
D005264	Femoral Fractures
D005265	Femoral Neck Fractures
D005266	Femoral Neoplasms
D020428	Femoral Neuropathy
D005271	Femur Head Necrosis
D063647	Fetal Alcohol Syndrome
D005313	Fetal Death
D005315	Fetal Diseases
D005317	Fetal Growth Retardation
D005311	Fetal Hypoxia
D005320	Fetal Macrosomia
D005322	Fetal Membranes, Premature Rupture
D048070	Fetal Nutrition Disorders
D005327	Fetal Resorption
D005330	Fetofetal Transfusion
D005331	Fetomaternal Transfusion
D018226	Fibroadenoma
D005348	Fibrocystic Breast Disease
D005350	Fibroma
D018220	Fibroma, Desmoplastic
D018214	Fibroma, Ossifying
D018221	Fibromatosis, Abdominal
D018222	Fibromatosis, Aggressive
D005351	Fibromatosis, Gingival
D005352	Fibromuscular Dysplasia
D005356	Fibromyalgia
D005354	Fibrosarcoma
D005355	Fibrosis
D005357	Fibrous Dysplasia of Bone
D005358	Fibrous Dysplasia, Monostotic
D005359	Fibrous Dysplasia, Polyostotic
D005368	Filariasis
D018702	Filoviridae Infections
D005383	Finger Injuries
D005391	Firesetting Behavior
D005401	Fissure in Ano
D005402	Fistula
D005409	Flail Chest
D005413	Flatfoot
D018177	Flavivirus Infections
D045826	Flavobacteriaceae Infections
D005458	Fluoride Poisoning
D009050	Fluorosis, Dental
D005489	Focal Dermal Hypoplasia
D005490	Focal Infection
D005491	Focal Infection, Dental
D020518	Focal Nodular Hyperplasia
D005494	Folic Acid Deficiency
D005497	Follicular Cyst
D005499	Folliculitis
D005512	Food Hypersensitivity
D005517	Foodborne Diseases
D005530	Foot Deformities
D005531	Foot Deformities, Acquired
D005532	Foot Deformities, Congenital
D005533	Foot Dermatoses
D005534	Foot Diseases
D018409	Foot Injuries
D016523	Foot Ulcer
D005536	Foot-and-Mouth Disease
D054092	Foramen Ovale, Patent
D005543	Forearm Injuries
D005547	Foreign Bodies
D005548	Foreign-Body Migration
D005549	Foreign-Body Reaction
D018934	Fournier Gangrene
D005588	Fox-Fordyce Disease
D050723	Fractures, Bone
D050724	Fractures, Cartilage
D005596	Fractures, Closed
D018460	Fractures, Comminuted
D050815	Fractures, Compression
D017759	Fractures, Malunited
D005597	Fractures, Open
D005598	Fractures, Spontaneous
D015775	Fractures, Stress
D005599	Fractures, Ununited
D005600	Fragile X Syndrome
D052159	Frasier Syndrome
D005611	Freemartinism
D005621	Friedreich Ataxia
D015522	Frontal Sinusitis
D057180	Frontotemporal Dementia
D057174	Frontotemporal Lobar Degeneration
D005627	Frostbite
D005633	Fructose Intolerance
D015318	Fructose Metabolism, Inborn Errors
D005642	Fuchs' Endothelial Dystrophy
D005645	Fucosidosis
D016469	Fungemia
D005660	Funnel Chest
D017823	Furcation Defects
D005667	Furunculosis
D005671	Fused Teeth
D005674	Fusobacterium Infections
D020235	Gait Apraxia
D020234	Gait Ataxia
D020233	Gait Disorders, Neurologic
D005687	Galactorrhea
D005693	Galactosemias
D005705	Gallbladder Diseases
D005706	Gallbladder Neoplasms
D042882	Gallstones
D005715	Gambling
D018303	Ganglioglioma
D045888	Ganglion Cysts
D018305	Ganglioneuroblastoma
D005729	Ganglioneuroma
D005733	Gangliosidoses
D020143	Gangliosidoses, GM2
D016537	Gangliosidosis, GM1
D005734	Gangrene
D005736	Gardner Syndrome
D005738	Gas Gangrene
D005739	Gas Poisoning
D013271	Gastric Dilatation
D005747	Gastric Fistula
D017219	Gastric Outlet Obstruction
D015408	Gastrinoma
D005756	Gastritis
D005757	Gastritis, Atrophic
D005758	Gastritis, Hypertrophic
D005759	Gastroenteritis
D005761	Gastroenteritis, Transmissible, of Swine
D005764	Gastroesophageal Reflux
D005767	Gastrointestinal Diseases
D006471	Gastrointestinal Hemorrhage
D005770	Gastrointestinal Neoplasms
D046152	Gastrointestinal Stromal Tumors
D018589	Gastroparesis
D020139	Gastroschisis
D005776	Gaucher Disease
D030342	Genetic Diseases, Inborn
D040181	Genetic Diseases, X-Linked
D050174	Genetic Diseases, Y-Linked
D020022	Genetic Predisposition to Disease
D005831	Genital Diseases, Female
D005832	Genital Diseases, Male
D005833	Genital Neoplasms, Female
D005834	Genital Neoplasms, Male
D042822	Genomic Instability
D057092	Geographic Atrophy
D018237	Germinoma
D005862	Gerstmann Syndrome
D016098	Gerstmann-Straussler-Scheinker Disease
D031901	Gestational Trophoblastic Neoplasms
D056768	Giant Axonal Neuropathy
D013700	Giant Cell Arteritis
D018212	Giant Cell Tumor of Bone
D005870	Giant Cell Tumors
D005871	Giant Lymph Node Hyperplasia
D005873	Giardiasis
D005877	Gigantism
D005878	Gilbert Disease
D005882	Gingival Diseases
D005884	Gingival Hemorrhage
D005885	Gingival Hyperplasia
D005886	Gingival Hypertrophy
D005887	Gingival Neoplasms
D019214	Gingival Overgrowth
D005888	Gingival Pocket
D005889	Gingival Recession
D005891	Gingivitis
D005892	Gingivitis, Necrotizing Ulcerative
D053579	Gitelman Syndrome
D005901	Glaucoma
D015812	Glaucoma, Angle-Closure
D015355	Glaucoma, Neovascular
D005902	Glaucoma, Open-Angle
D005909	Glioblastoma
D005910	Glioma
D018315	Glioma, Subependymal
D018316	Gliosarcoma
D005911	Gliosis
D005921	Glomerulonephritis
D005922	Glomerulonephritis, IGA
D015432	Glomerulonephritis, Membranoproliferative
D015433	Glomerulonephritis, Membranous
D005923	Glomerulosclerosis, Focal Segmental
D005925	Glomus Jugulare Tumor
D005918	Glomus Tumor
D043604	Glomus Tympanicum Tumor
D005926	Glossalgia
D005928	Glossitis
D005929	Glossitis, Benign Migratory
D020435	Glossopharyngeal Nerve Diseases
D005935	Glucagonoma
D018149	Glucose Intolerance
D044882	Glucose Metabolism Disorders
D005955	Glucosephosphate Dehydrogenase Deficiency
D006008	Glycogen Storage Disease
D005953	Glycogen Storage Disease Type I
D006009	Glycogen Storage Disease Type II
D006010	Glycogen Storage Disease Type III
D052120	Glycogen Storage Disease Type IIb
D006011	Glycogen Storage Disease Type IV
D006012	Glycogen Storage Disease Type V
D006014	Glycogen Storage Disease Type VII
D006015	Glycogen Storage Disease Type VIII
D006029	Glycosuria
D006030	Glycosuria, Renal
D006042	Goiter
D006043	Goiter, Endemic
D006044	Goiter, Nodular
D006045	Goiter, Substernal
D006053	Goldenhar Syndrome
D006058	Gonadal Disorders
D006059	Gonadal Dysgenesis
D023961	Gonadal Dysgenesis, 46,XX
D006061	Gonadal Dysgenesis, 46,XY
D006060	Gonadal Dysgenesis, Mixed
D018238	Gonadoblastoma
D006069	Gonorrhea
D006073	Gout
D006083	Graft Occlusion, Vascular
D006086	Graft vs Host Disease
D016905	Gram-Negative Bacterial Infections
D016908	Gram-Positive Bacterial Infections
D016586	Granular Cell Tumor
D006099	Granuloma
D016460	Granuloma Annulare
D006100	Granuloma Inguinale
D015745	Granuloma, Foreign-Body
D006101	Granuloma, Giant Cell
D006102	Granuloma, Laryngeal
D006103	Granuloma, Lethal Midline
D006104	Granuloma, Plasma Cell
D017789	Granuloma, Pyogenic
D015769	Granuloma, Respiratory Tract
D051261	Granulomatosis, Orofacial
D006105	Granulomatous Disease, Chronic
D006106	Granulosa Cell Tumor
D006111	Graves Disease
D049970	Graves Ophthalmopathy
D055652	Gray Platelet Syndrome
D006130	Growth Disorders
D049912	Growth Hormone-Secreting Pituitary Adenoma
D020275	Guillain-Barre Syndrome
D006175	Gynatresia
D006177	Gynecomastia
D015799	Gyrate Atrophy
D017359	HELLP Syndrome
D019053	HIV Enteropathy
D015658	HIV Infections
D006679	HIV Seropositivity
D019247	HIV Wasting Syndrome
D039682	HIV-Associated Lipodystrophy Syndrome
D015490	HTLV-I Infections
D015491	HTLV-II Infections
D006188	Haemonchiasis
D006192	Haemophilus Infections
D006201	Hair Diseases
D031845	Hajdu-Cheney Syndrome
D006210	Hallermann's Syndrome
D006212	Hallucinations
D020857	Hallux Limitus
D020859	Hallux Rigidus
D006215	Hallux Valgus
D006222	Hamartoma
D006223	Hamartoma Syndrome, Multiple
D037801	Hammer Toe Syndrome
D006226	Hand Deformities
D006227	Hand Deformities, Acquired
D006228	Hand Deformities, Congenital
D006229	Hand Dermatoses
D006230	Hand Injuries
D006232	Hand, Foot and Mouth Disease
D053421	Hand-Arm Vibration Syndrome
D018778	Hantavirus Infections
D018804	Hantavirus Pulmonary Syndrome
D006250	Hartnup Disease
D050031	Hashimoto Disease
D016489	Head Injuries, Closed
D020197	Head Injuries, Penetrating
D006258	Head and Neck Neoplasms
D006261	Headache
D020773	Headache Disorders
D051270	Headache Disorders, Primary
D051271	Headache Disorders, Secondary
D006311	Hearing Disorders
D034381	Hearing Loss
D006312	Hearing Loss, Bilateral
D006313	Hearing Loss, Central
D006314	Hearing Loss, Conductive
D006315	Hearing Loss, Functional
D006316	Hearing Loss, High-Frequency
D046089	Hearing Loss, Mixed Conductive-Sensorineural
D006317	Hearing Loss, Noise-Induced
D006319	Hearing Loss, Sensorineural
D003639	Hearing Loss, Sudden
D046088	Hearing Loss, Unilateral
D006322	Heart Aneurysm
D006323	Heart Arrest
D006327	Heart Block
D006330	Heart Defects, Congenital
D006331	Heart Diseases
D006333	Heart Failure
D054144	Heart Failure, Diastolic
D054143	Heart Failure, Systolic
D006335	Heart Injuries
D006338	Heart Neoplasms
D006341	Heart Rupture
D006342	Heart Rupture, Post-Infarction
D006343	Heart Septal Defects
D006344	Heart Septal Defects, Atrial
D006345	Heart Septal Defects, Ventricular
D006349	Heart Valve Diseases
D006357	Heartwater Disease
D006359	Heat Exhaustion
D018882	Heat Stress Disorders
D018883	Heat Stroke
D006362	Heavy Chain Disease
D020260	Heavy Metal Poisoning, Nervous System
D036982	Heel Spur
D016481	Helicobacter Infections
D006373	Helminthiasis
D006374	Helminthiasis, Animal
D018325	Hemangioblastoma
D006390	Hemangioendothelioma
D018323	Hemangioendothelioma, Epithelioid
D006391	Hemangioma
D018324	Hemangioma, Capillary
D006392	Hemangioma, Cavernous
D020786	Hemangioma, Cavernous, Central Nervous System
D006393	Hemangiopericytoma
D006394	Hemangiosarcoma
D006395	Hemarthrosis
D006396	Hematemesis
D006398	Hematocele
D006399	Hematocolpos
D006402	Hematologic Diseases
D019337	Hematologic Neoplasms
D006406	Hematoma
D006407	Hematoma, Epidural, Cranial
D046748	Hematoma, Epidural, Spinal
D006408	Hematoma, Subdural
D020199	Hematoma, Subdural, Acute
D020200	Hematoma, Subdural, Chronic
D046648	Hematoma, Subdural, Intracranial
D046649	Hematoma, Subdural, Spinal
D006409	Hematometra
D006417	Hematuria
D006423	Hemianopsia
D019569	Hemifacial Spasm
D006429	Hemiplegia
D006431	Hemobilia
D006432	Hemochromatosis
D006445	Hemoglobin C Disease
D006450	Hemoglobin SC Disease
D006453	Hemoglobinopathies
D006456	Hemoglobinuria
D006457	Hemoglobinuria, Paroxysmal
D006461	Hemolysis
D006463	Hemolytic-Uremic Syndrome
D006465	Hemoperitoneum
D006467	Hemophilia A
D002836	Hemophilia B
D006468	Hemopneumothorax
D006469	Hemoptysis
D006470	Hemorrhage
D006474	Hemorrhagic Disorders
D006480	Hemorrhagic Fever with Renal Syndrome
D006478	Hemorrhagic Fever, American
D006479	Hemorrhagic Fever, Crimean
D019142	Hemorrhagic Fever, Ebola
D006482	Hemorrhagic Fevers, Viral
D006483	Hemorrhagic Septicemia
D006484	Hemorrhoids
D006486	Hemosiderosis
D051516	Hemospermia
D020141	Hemostatic Disorders
D006491	Hemothorax
D045464	Henipavirus Infections
D018347	Hepadnaviridae Infections
D006501	Hepatic Encephalopathy
D048550	Hepatic Insufficiency
D006504	Hepatic Veno-Occlusive Disease
D006505	Hepatitis
D006506	Hepatitis A
D006509	Hepatitis B
D019694	Hepatitis B, Chronic
D006526	Hepatitis C
D019698	Hepatitis C, Chronic
D003699	Hepatitis D
D019701	Hepatitis D, Chronic
D016751	Hepatitis E
D006519	Hepatitis, Alcoholic
D006520	Hepatitis, Animal
D019693	Hepatitis, Autoimmune
D006521	Hepatitis, Chronic
D006522	Hepatitis, Infectious Canine
D006524	Hepatitis, Viral, Animal
D006525	Hepatitis, Viral, Human
D018197	Hepatoblastoma
D006527	Hepatolenticular Degeneration
D006529	Hepatomegaly
D020065	Hepatopulmonary Syndrome
D006530	Hepatorenal Syndrome
D056828	Hereditary Angioedema Type III
D056660	Hereditary Autoinflammatory Diseases
D020279	Hereditary Central Nervous System Demyelinating Diseases
D009477	Hereditary Sensory and Autonomic Neuropathies
D015417	Hereditary Sensory and Motor Neuropathy
D020271	Heredodegenerative Disorders, Nervous System
D022861	Hermanski-Pudlak Syndrome
D006547	Hernia
D046449	Hernia, Abdominal
D006548	Hernia, Diaphragmatic
D006549	Hernia, Diaphragmatic, Traumatic
D006550	Hernia, Femoral
D006551	Hernia, Hiatal
D006552	Hernia, Inguinal
D006553	Hernia, Obturator
D006554	Hernia, Umbilical
D006555	Hernia, Ventral
D006556	Heroin Dependence
D006557	Herpangina
D006558	Herpes Genitalis
D006560	Herpes Labialis
D006561	Herpes Simplex
D006562	Herpes Zoster
D006563	Herpes Zoster Ophthalmicus
D016697	Herpes Zoster Oticus
D006566	Herpesviridae Infections
D016575	Hidradenitis
D017497	Hidradenitis Suppurativa
D018251	Hidrocystoma
D006610	High Pressure Neurological Syndrome
D006616	Hip Contracture
D006617	Hip Dislocation
D006618	Hip Dislocation, Congenital
D006620	Hip Fractures
D025981	Hip Injuries
D006627	Hirschsprung Disease
D006628	Hirsutism
D020042	Histiocytic Necrotizing Lymphadenitis
D054747	Histiocytic Sarcoma
D051642	Histiocytoma
D018219	Histiocytoma, Benign Fibrous
D051677	Histiocytoma, Malignant Fibrous
D015614	Histiocytosis
D006646	Histiocytosis, Langerhans-Cell
D015616	Histiocytosis, Non-Langerhans-Cell
D015618	Histiocytosis, Sinus
D006660	Histoplasmosis
D006677	Histrionic Personality Disorder
D006685	Hoarseness
D006689	Hodgkin Disease
D028922	Holocarboxylase Synthetase Deficiency
D016142	Holoprosencephaly
D006712	Homocystinuria
D006725	Hookworm Infections
D006732	Horner Syndrome
D006810	Humeral Fractures
D006816	Huntington Disease
D006819	Hyaline Membrane Disease
D057770	Hyalinosis, Systemic
D006828	Hydatidiform Mole
D002820	Hydatidiform Mole, Invasive
