DiseaseName	DiseaseID
Porphyrias	D011164
Cerebellar Diseases	D002526
End Stage Liver Disease	D058625
Trauma, Nervous System	D020196
46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related	C565537
46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy	C567773
ABCD syndrome	C535334
Achondroplasia	D000130
Adenosine Triphosphate, Elevated, Of Erythrocytes	C566310
Advanced Sleep-Phase Syndrome, Familial	C565789
Afibrinogenemia	D000347
Aicardi-Goutieres syndrome	C535607
Alcoholic Intoxication	D000435
Alopecia Areata	D000506
Alpha-Methylacyl-CoA Racemase Deficiency	C565768
Alternating hemiplegia of childhood	C536589
Alveolar Bone Loss	D016301
Amish Infantile Epilepsy Syndrome	C563799
Amyloidosis, familial visceral	C538249
Amyotrophic Lateral Sclerosis 2, Juvenile	C565957
Anemia, Hemolytic, Congenital Nonspherocytic	D000746
Anemia, Hypoplastic, Congenital	D029502
Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps	C567088
Anovulation	D000858
Antley-Bixler Syndrome Phenotype	D054882
Apolipoprotein C-III Deficiency	C566270
Arrhythmogenic Right Ventricular Dysplasia, Familial, 8	C564400
Aspergillosis	D001228
Ataxia Telangiectasia Like Disorder	C565779
Atelosteogenesis, type 1	C535396
Autonomic Nervous System Diseases	D001342
Axenfeld-Rieger syndrome	C535679
Bare Lymphocyte Syndrome, Type I	C565759
Bile Acid Malabsorption, Primary	C567652
Bile Acid Synthesis Defect, Congenital, 3	C566340
Bile acid synthesis defect, congenital, 4	C535444
Blood Coagulation Disorders, Inherited	D025861
Boomerang dysplasia	C536573
Brachyolmia Type 3	C562963
Branchiootic Syndrome 3	C564248
Branchio-Oto-Renal Syndrome	D019280
Brugada Syndrome	D053840
Brugada Syndrome 5	C567556
Brugada Syndrome 7	C567734
Cardiomyopathy, Dilated, 1N	C564388
Cardiomyopathy dilated with woolly hair and keratoderma	C535581
Cartilage Diseases	D002357
Cataract, Nuclear Diffuse Nonprogressive	C566157
CATSHL syndrome	C537975
Cerebral Small Vessel Diseases	D059345
Cervical Intraepithelial Neoplasia	D018290
Chanarin-Dorfman Syndrome	C536560
Cholestasis, progressive familial intrahepatic 1	C535933
Cholestasis, progressive familial intrahepatic 3	C535935
Chondrodysplasia, acromesomelic, with genital anomalies	C537913
Chromosome 15q13.3 Microdeletion Syndrome	C567439
Chromosome 3, monosomy 3p25	C536807
Chronic Disease	D002908
Chronic Periodontitis	D055113
Ciliary Dyskinesia, Primary, 5	C563886
Clubfoot	D003025
Complement Factor D Deficiency	C565027
Congenital Abnormalities	D000013
Congenital Hyperinsulinism	D044903
Congenital Hypothyroidism	D003409
Contracture	D003286
Crouzon Syndrome With Acanthosis Nigricans	C567382
Deafness, Autosomal Dominant 23	C565357
Death, Sudden, Cardiac	D016757
Diabetes Mellitus, Permanent Neonatal	C563425
Digital Arthropathy-Brachydactyly, Familial	C564656
Duane Retraction Syndrome	D004370
Dwarfism	D004392
Dysarthria	D004401
Dysfibrinogenemia, Congenital	C562727
Ectodermal Dysplasia	D004476
Eczema	D004485
Edema, Cardiac	D004489
Endplate Acetylcholinesterase Deficiency	C566415
Epidermal Nevus	C580062
Epidermolysis Bullosa	D004820
Epidermolysis bullosa, lethal acantholytic	C535493
Epidermolysis bullosa with pyloric atresia	C535377
Erythrocyte Lactate Transporter Defect	C565449
Ethylmalonic encephalopathy	C535737
Facies	D019066
Familial apoceruloplasmin deficiency	C536004
Familial Testotoxicosis	C536961
Favism	D005236
Focal Segmental Glomerulosclerosis 5	C567687
Frontotemporal Dementia	D057180
Fructose Intolerance	D005633
Generalized Epilepsy With Febrile Seizures Plus, Type 1	C565809
Glaucoma 3, Primary Congenital, D	C567765
Glaucoma, Angle-Closure	D015812
Glomerulopathy with fibronectin deposits	C536826
Glucosephosphate Dehydrogenase Deficiency	D005955
Granulomatous Disease, Chronic	D006105
Granulosa Cell Tumor	D006106
Hdl Deficiency, Type 2	C538394
Hearing Loss, Sudden	D003639
Heat Stress Disorders	D018882
Hemangioendothelioma	D006390
Hemiplegic migraine, familial type 2	C537246
Heparin Cofactor II Deficiency	C562865
Hepatoblastoma	D018197
Hereditary Motor And Sensory Neuropathy, Type IIC	C565261
Hereditary Sensory and Motor Neuropathy	D015417
Hereditary spastic paralysis, infantile onset ascending	C537217
Heterotaxy Syndrome	D059446
Heterotopia, Periventricular, Autosomal Recessive	C564292
Hirschsprung Disease, Cardiac Defects, and Autonomic Dysfunction	C563939
Hydrocephalus	D006849
Hyperaldosteronism, Familial, Type II	C565312
Hyperinsulinemic hypoglycemia, familial, 3	C538374
Hyperinsulinemic hypoglycemia, familial, 7	C538376
Hyperlipoproteinemias	D006951
Hyperlipoproteinemia Type I	D008072
Hypermanganesemia with Dystonia Polycythemia and Cirrhosis	C548016
Hypertrophy, Right Ventricular	D017380
Hypoalphalipoproteinemias	D052456
Hypochondroplasia	C562937
Hypophosphatasia	D007014
Hypophosphatasia, Adult	C562647
Hypophosphatasia, Childhood	C562440
Hypophosphatasia, Infantile	C562646
Hypospadias	D007021
Hypouricemia, Renal, 2	C567426
Ichthyosis	D007057
Iminoglycinuria	C536285
Immunoblastic Lymphadenopathy	D007119
Infertility	D007246
Intestinal Obstruction	D007415
Ischiopatellar dysplasia	C535540
Jaundice, Obstructive	D041781
Kartagener Syndrome	D007619
Keratosis Palmoplantaris Striata II	C565102
Lacrimoauriculodentodigital syndrome	C538132
Lactose Intolerance, Adult Type	C562601
Larsen syndrome, dominant type	C537873
Late-Onset Retinal Degeneration	C565309
Leber Congenital Amaurosis 14	C567636
Lens Diseases	D007905
Leukemia, Erythroblastic, Acute	D004915
Leukotriene C4 Synthase Deficiency	C565439
Limb-girdle muscular dystrophy, type 2B	C535899
Lipid Metabolism, Inborn Errors	D008052
Lipoid Proteinosis of Urbach and Wiethe	D008065
Liposarcoma	D008080
Liver Diseases, Alcoholic	D008108
Lung agenesis	C562992
Lymphangioleiomyomatosis	D018192
Lymphedema	D008209
Lymphoma, Extranodal NK-T-Cell	D054391
Lymphoma, T-Cell, Peripheral	D016411
Malnutrition	D044342
Mastocytosis	D008415
Maturity-Onset Diabetes of the Young, Type 2	C564219
Maxillofacial Abnormalities	D019767
Meier-Gorlin syndrome	C538012
Menkes Kinky Hair Syndrome	D007706
Mental Retardation, X-Linked 30	C563146
Metatropic dwarfism	C537356
Methylenetetrahydrofolate reductase deficiency	C537357
Mevalonate Kinase Deficiency	D054078
Microcephaly, Primary Autosomal Recessive, 2	C565794
Microcephaly, Primary Autosomal Recessive, 5	C563871
Microvascular Angina	D017566
Mitochondrial Complex III Deficiency	C565128
Mitral Valve Prolapse, Myxomatous 2	C564326
Miyoshi myopathy	C537480
Muenke Syndrome	C537369
Multiple Synostoses Syndrome 3	C567839
Muscular Atrophy, Spinal	D009134
Muscular dystrophy congenital, merosin negative	C537384
Muscular Dystrophy, Limb-Girdle, Type 2G	C566599
Myoclonic Epilepsies, Progressive	D020191
Myofibrillar Myopathy	C580316
Myoglobinuria, Acute Recurrent, Autosomal Recessive	C564832
Myopathy, Distal, with Anterior Tibial Onset	C564664
Myopathy, Reducing Body, X-Linked, Childhood-Onset	C567468
Myopathy, Reducing Body, X-Linked, Early-Onset, Severe	C567469
Myopia	D009216
Neisseriaceae Infections	D016870
Neoplastic Cells, Circulating	D009360
Nephronophthisis 7	C566930
Nephropathy with Pretibial Epidermolysis Bullosa and Deafness	C563798
Neural tube defect, folate-sensitive	C536409
Neuroacanthocytosis	D054546
Neurodegeneration with brain iron accumulation (NBIA)	C538421
Neuroectodermal Tumors, Primitive, Peripheral	D018241
Neuronopathy, Distal Hereditary Motor, Type V	C563443
Neuropathy, hereditary motor and sensory, LOM type	C535716
Nicolaides Baraitser syndrome	C536116
Night blindness, congenital stationary	C536122
Night Blindness, Congenital Stationary, Autosomal Dominant 3	C566475
Oculodigitoesophagoduodenal syndrome	C537734
Oropharyngeal Neoplasms	D009959
Overweight	D050177
Parastremmatic dwarfism	C537172
Pasteurellaceae Infections	D016871
Peroxisome biogenesis disorders	C536664
Phagocyte Bactericidal Dysfunction	D010585
Phenylketonurias	D010661
Pick Disease of the Brain	D020774
Piebaldism	D016116
Pitt-Hopkins syndrome	C537403
Pituitary Diseases	D010900
Pleural Neoplasms	D010997
Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy	C536329
Polyhydramnios	D006831
Polyps	D011127
Porencephaly	D065708
Primary Graft Dysfunction	D055031
Primary lateral sclerosis juvenile	C536416
Progressive supranuclear palsy atypical	C537240
Pyelonephritis	D011704
Pyloric Atresia	C562561
Pyruvate Kinase Deficiency of Red Cells	C564858
Raynaud Disease	D011928
Refsum Disease, Infantile	D052919
Renal hypouricemia	C537757
Respiratory Tract Infections	D012141
Roifman-Chitayat Syndrome	C567641
Scapuloperoneal Myopathy, X-Linked Dominant	C567481
Schizencephaly	D065707
Seizures, Febrile	D003294
Seminoma	D018239
SHORT syndrome	C537327
Silver-Russell Syndrome	D056730
Sitosterolemia	C537345
Situs Inversus	D012857
Skin Fragility-Woolly Hair Syndrome	C564359
Smooth Muscle Tumor	D018235
Spastic Paraplegia 31, Autosomal Dominant	C565210
Spastic Paraplegia, Hereditary	D015419
Spastic paraplegia type 5A, recessive	C536871
Spinal Muscular Atrophy, Distal, Congenital Nonprogressive	C563981
Spinocerebellar Ataxia 31	C566146
Spondylocarpotarsal synostosis	C535780
Spondylometaphyseal dysplasia, Kozlowski type	C535797
ST Elevation Myocardial Infarction	D000072657
Striatal Degeneration, Autosomal Dominant	C563783
Stuve-Wiedemann syndrome	C537502
Sudden Infant Death	D013398
Synpolydactyly 2	C564278
Tangier Disease	D013631
Tauopathies	D024801
Tetralogy of Fallot	D013771
Thanatophoric Dysplasia	D013796
Thanatophoric dysplasia, type 2	C536508
Thanatophoric Dysplasia, Type I	C566844
Thiamine responsive megaloblastic anemia syndrome	C536510
Thrombophilia, Hereditary, Due To Protein S Deficiency, Autosomal Dominant	C567347
Thrombophilia, Hereditary, Due To Protein S Deficiency, Autosomal Recessive	C567348
Thyroid Dyshormonogenesis 2A	C563206
Thyrotoxicosis	D013971
Toothache	D014098
Transposition of Great Vessels	D014188
Trimethylaminuria	C536561
Truncus Arteriosus, Persistent	D014339
Uncombable hair syndrome	C536939
Van Maldergem Wetzburger Verloes syndrome	C536530
Vesicoureteral Reflux 2	C567053
Visceral myopathy familial external ophthalmoplegia	C536350
Weill-Marchesani Syndrome	D056846
Xanthomatosis	D014973
X-Linked Emery-Dreifuss Muscular Dystrophy	D000083143
Zellweger Syndrome	D015211
2-Hydroxyglutaricaciduria	C535306
AICAR Transformylase Inosine Monophosphate Cyclohydrolase Deficiency	C563876
Alopecia, Neurologic Defects, and Endocrinopathy Syndrome	C567425
Arginine-Glycine Amidinotransferase Deficiency	C567192
Arthrogryposis multiplex congenita, distal, X-linked	C535380
Auditory Perceptual Disorders	D001308
Bardet-Biedl Syndrome	D020788
Bardet-Biedl Syndrome 14	C567141
Brody myopathy	C536607
Cardiac valvular dysplasia, X-linked	C535576
Cardiomyopathy, Dilated, 1w	C566954
Cardiomyopathy, Familial Hypertrophic, 15	C567681
Cataract, Congenital Nuclear, Autosomal Recessive 3	C566923
Charcot-Marie-Tooth disease, Type 2B	C537989
COACH syndrome	C536430
Cole Carpenter syndrome	C535963
Congenital idiopathic intestinal pseudoobstruction	C535532
Corneal Dystrophies, Hereditary	D003317
Corneal Ulcer	D003320
Cornea Plana 2	C565677
Diamond-Blackfan Anemia 7	C567254
Empty Sella Syndrome	D004652
Gout, HPRT-Related	C562583
Heterotopia, Periventricular, Ehlers-Danlos Variant	C564492
Hypermethioninemia	C564683
Hypotrichosis	D007039
Joubert syndrome 6	C537689
Keratoconus	D007640
Keratoconus 1	C563649
Keratomalacia	C536156
Leber Congenital Amaurosis 12	C565697
Leigh Disease	D007888
Meckel syndrome type 3	C536132
Mitral Valve Insufficiency	D008944
Mitral Valve Prolapse	D008945
Muscular Dystrophy, Limb-Girdle, Type 1F	C564242
Nephrosis, congenital	C535761
Nephrosis, Lipoid	D009402
Opitz-Kaveggia syndrome	C537923
Orofaciodigital syndrome, Shashi type	C537135
Osteogenesis imperfecta, type 6	C536047
Oto-Palato-digital syndrome type 1	C536065
Oto-palato-digital syndrome, type 2	C538089
Periventricular Nodular Heterotopia	D054091
Phosphoenolpyruvate carboxykinase 2 deficiency	C536655
Retinal Nonattachment, Nonsyndromic Congenital	C565633
Sandhoff Disease	D012497
Brain Stem Neoplasms	D020295
Bone Diseases, Endocrine	D001849
Hyperostosis	D015576
Hyperphosphatemia	D054559
Hypercalcemia, Idiopathic, of Infancy	C562581
Hypercalciuria, childhood idiopathic	C536082
Hypophosphatemic Rickets, Autosomal Dominant	C562791
Melanocytic nevus syndrome, congenital	C536819
Nevus, Sebaceous of Jadassohn	D054000
Pancreatitis, Acute Necrotizing	D019283
Pancreatitis, Alcoholic	D019512
Splenic Neoplasms	D013160
Superior Vena Cava Syndrome	D013479
Vitamin D Hydroxylation-Deficient Rickets, Type 1A	C562688
Carcinoma, Lewis Lung	D018827
alpha 1-Antitrypsin Deficiency	D019896
Basal Laminar Drusen	C563034
Complement Factor H Deficiency	C562875
Dysostoses	D004413
Juvenile-onset dystonia	C537704
Macular Degeneration, Age-Related, 4	C565196
Nervous System Malformations	D009421
Panniculitis, Nodular Nonsuppurative	D010201
Thiamine Deficiency	D013832
Azotemia	D053099
Charcot-Marie-Tooth disease, Type 1F	C537987
Charcot-Marie-Tooth disease, Type 2E	C537994
Dermatofibrosarcoma	D018223
Fahr's disease	C536275
Gingival Hyperplasia	D005885
Histiocytoma, Angiomatoid Fibrous	C563181
Isolated Growth Hormone Deficiency, Type IB	C567564
Isolated Growth Hormone Deficiency, Type II	C562704
Kowarski syndrome	C537505
Optic Neuritis	D009902
Pituitary dwarfism 1	C537404
Abetalipoproteinemia	D000012
Acetyl-Coa Carboxylase Deficiency	C562678
Acidosis, Lactic	D000140
Adrenal Gland Diseases	D000307
Atrioventricular Septal Defect	C562831
Auriculo-condylar syndrome	C538270
Basaran Yilmaz syndrome	C537660
Candidiasis, Chronic Mucocutaneous	D002178
Charcot-Marie-Tooth Disease, Axonal, Type 2A2	C563757
Cholestasis, progressive familial intrahepatic 2	C535934
Combined Immunodeficiency with Autoimmunity and Spondylometaphyseal Dysplasia	C564307
Coronary Aneurysm	D003323
Craniometaphyseal dysplasia, autosomal recessive type	C536570
Cyclic neutropenia	C536227
Cytomegalovirus Infections	D003586
Darier Disease	D007644
Diabetes Insipidus, Nephrogenic	D018500
Epilepsy, Benign Neonatal, 3	C564274
Epilepsy, Generalized	D004829
Follicle-stimulating hormone deficiency, isolated	C537070
Fragile X Tremor Ataxia Syndrome	C564105
Gonadal Dysgenesis	D006059
Hemiplegia	D006429
Hereditary Diffuse Leukoencephalopathy with Spheroids	C580150
Hereditary Motor And Sensory Neuropathy VI	C562851
Hernia, Umbilical	D006554
Hypoplastic Left Heart Syndrome	D018636
Lateral Medullary Syndrome	D014854
LEOPARD syndrome, 2	C537117
Leukocyte-Adhesion Deficiency Syndrome	D018370
Leukocyte adhesion deficiency type 1	C535887
Leukocyte Disorders	D007960
Mitochondrial Encephalomyopathies	D017237
Mycobacterium Infections	D009164
Neutropenia, Severe Congenital, Autosomal Dominant 1	C565969
Noonan Syndrome 5	C548083
Oculodentodigital Dysplasia	C563160
Oculodentodigital Dysplasia, Autosomal Recessive	C567605
Optic Atrophy	D009896
Optic atrophy 5	C537126
Osteopetrosis	D010022
Sialorrhea	D012798
Skin Ulcer	D012883
Spondyloenchondrodysplasia	C535782
Spondyloepimetaphyseal Dysplasia, Aggrecan Type	C567558
Spondyloepiphyseal Dysplasia, Kimberley Type	C564252
Syndactyly, type 3	C538154
Telangiectasis	D013684
Urinary Retention	D016055
Uterine Diseases	D014591
Vasospasm, Intracranial	D020301
Language Disorders	D007806
Phyllodes Tumor of the Prostate	C549759
Epilepsy, Frontal Lobe	D017034
Epilepsy, Nocturnal Frontal Lobe, Type 3	C565334
Atypical Mycobacteriosis, Familial, X-Linked 2	C567068
Ehlers-Danlos Syndrome	D004535
Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Negative	C565533
Mastitis	D008413
Colorectal Cancer, Hereditary Nonpolyposis, Type 8	C567685
Colorectal Neoplasms, Hereditary Nonpolyposis	D003123
Diarrhea 5, With Tufting Enteropathy, Congenital	C567703
Lynch syndrome I (site-specific colonic cancer)	C537261
Medullary cystic kidney disease 1	C536137
Popliteal Pterygium Syndrome, Lethal Type	C564874
Virus Diseases	D014777
Abdominal obesity metabolic syndrome	C535554
Cellulitis	D002481
Coronary Vessel Anomalies	D003330
Crisponi syndrome	C536214
Deafness, Autosomal Dominant 3A	C567277
Dystonia, Dopa-responsive	C538007
Enteropathy-Associated T-Cell Lymphoma	D058527
Erythrocyte Amp Deaminase Deficiency	C567878
Gallbladder Disease 4	C566936
Gamma-Glutamylcysteine Synthetase Deficiency, Hemolytic Anemia due to	C565557
Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Positive, Type II	C565531
Hidradenitis Suppurativa	D017497
HID Syndrome	C566528
Hyperphenylalaninemia, BH4-Deficient, B	C562656
Ige Responsiveness, Atopic	C564133
Jaundice, Chronic Idiopathic	D007566
Keratitis, Ichthyosis, and Deafness (KID) Syndrome	C536168
Keratoderma, Palmoplantar	D007645
Knuckle pads, leuconychia and sensorineural deafness	C537210
Laron syndrome type 2	C537871
Leukemia, Large Granular Lymphocytic	D054066
Leukemia, Prolymphocytic, T-Cell	D015461
Palmoplantar Keratoderma with Deafness	C536152
Platelet-Activating Factor Acetylhydrolase Deficiency	C566640
Progressive hearing loss stapes fixation	C536424
T-Lymphocytopenia	C536783
Vohwinkel syndrome	C536457
Xanthomatosis, Cerebrotendinous	D019294
Alpha-B Crystallinopathy	C563848
Complement Component 7 Deficiency	C566443
Diabetes Mellitus, Insulin-Dependent, 10	C566602
Glutaric Aciduria III	C562818
Interleukin 2 Receptor, Alpha, Deficiency of	C565232
Tropical Calcific Pancreatitis	C564276
Hand Dermatoses	D006229
Polyomavirus Infections	D027601
Ovarian Hyperstimulation Syndrome	D016471
Aberrant Crypt Foci	D058739
Acrodermatitis	D000169
Adrenal hyperplasia 2	C538236
Alcohol-Induced Disorders, Nervous System	D020268
Amyloid Neuropathies, Familial	D028227
Amyloidosis, Hereditary, Transthyretin-Related	C567782
Apraxias	D001072
Arthritis	D001168
Carpal Tunnel Syndrome	D002349
Cerebellar Ataxia, Deafness, and Narcolepsy	C565825
Charcot-Marie-Tooth Disease, Dominant Intermediate A	C564702
Congenital disorder of glycosylation type 1J	C535748
Cutis Laxa	D003483
Cutis Laxa, Autosomal Recessive, Type IIB	C567855
Deafness, Autosomal Recessive 26	C565329
Deafness, Autosomal Recessive 32	C563884
Dystransthyretinemic Euthyroidal Hyperthyroxinemia	C567719
Foodborne Diseases	D005517
Galactosemias	D005693
Genital Neoplasms, Female	D005833
Heart Septal Defects	D006343
Hemochromatosis, type 4	C537249
Hemoglobinuria, Paroxysmal	D006457
Hyperthyroidism, Familial Gestational	C566384
Hyperthyroidism, Nonautoimmune	C563786
Hyperthyroxinemia	D006981
Hypothyroidism, Congenital, Nongoitrous, 1	C576976
Lacrimal Duct Obstruction	D007767
Leukemia, Monocytic, Acute	D007948
Macrocephaly, Alopecia, Cutis Laxa, and Scoliosis	C567770
Mental Retardation, X-Linked	D038901
Mental Retardation, X-Linked 72	C564547
Nemaline myopathy 6	C538398
Netherton Syndrome	D056770
Neuronal Ceroid-Lipofuscinoses	D009472
No-Reflow Phenomenon	D054318
Paraplegia	D010264
Parkinsonism, early onset with mental retardation	C537179
Pilomatrixoma	D018296
Primary ciliary dyskinesia, 2	C535277
Primary hyperoxaluria type 2	C536415
Progeria	D011371
Prostate Cancer, Hereditary, 13	C567456
Prostatic Diseases	D011469
Pulmonary Alveolar Microlithiasis	C562405
Spastic Paraplegia 7, Autosomal Recessive	C564599
Thyroiditis, Autoimmune	D013967
Tuberculosis	D014376
Tyrosinemias	D020176
Walker-Warburg Syndrome	D058494
Cystitis, Interstitial	D018856
Pancytopenia	D010198
Paraneoplastic Syndromes	D010257
Polyneuropathies	D011115
Sarcoma, Experimental	D012513
Megalencephaly	D058627
Perisylvian syndrome	C536658
Polydactyly, Postaxial	C562429
Cardiomyopathy, Dilated, 1p	C563690
Hypopigmentation	D017496
Keratolytic winter erythema	C536155
Microcephaly with Chorioretinopathy, Autosomal Recessive	C565379
Neurocutaneous Syndromes	D020752
Tooth Diseases	D014076
Xanthinuria, Type I	C562584
Agricultural Workers' Diseases	D000382
Hemorrhoids	D006484
Neuroectodermal Tumors, Primitive	D018242
Periodontal Diseases	D010510
Persian Gulf Syndrome	D018923
Agammaglobulinemia	D000361
Anaphylaxis	D000707
Arrhythmogenic Right Ventricular Dysplasia, Familial, 12	C566925
Glutathionuria	C536836
Glycogen Storage Disease XIII	C567861
Naxos disease	C538346
Unconsciousness	D014474
22q11 Deletion Syndrome	D058165
2,4-Dienoyl-CoA Reductase Deficiency	C565624
3C syndrome	C535313
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	C538324
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency	C567784
3-Hydroxyacyl-CoA Dehydrogenase Deficiency	C535310
3-methylcrotonyl CoA carboxylase 1 deficiency	C535308
3-methylcrotonyl CoA carboxylase 2 deficiency	C535309
3-Methylglutaconic Aciduria, Type I	C562801
3-Methylglutaconic Aciduria, Type V	C565706
5-oxoprolinase deficiency	C535322
6-pyruvoyl-tetrahydropterin synthase deficiency	C535325
Ablepharon macrostomia syndrome	C535557
Abortion, Threatened	D000033
Absence of tibia with polydactyly	C535564
Absent radii and thrombocytopenia	C536940
Achalasia Addisonianism Alacrimia syndrome	C536008
Acheiropodia	C536014
Achondrogenesis type 1A	C536015
Achondrogenesis type 1B	C536016
Acidemia, isovaleric	C538167
Acid Phosphatase Deficiency	C562645
Acne Vulgaris	D000152
Acrocallosal Syndrome	D055673
Acrocapitofemoral Dysplasia	C564334
Acrocephalopolysyndactyly Type II	C563187
Acrocephalosyndactylia	D000168
Acrodermatitis enteropathica	C538178
Acrodysostosis	C538179
Acrofacial dysostosis, Nager type	C538184
Acromelic Frontonasal Dysostosis	C566345
Acromesomelic dysplasia, Maroteaux type	C535661
Acro-Osteolysis	D030981
Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of	C567006
Adams Oliver syndrome	C538225
Adducted Thumbs Syndrome	C562949
Adenine phosphoribosyltransferase deficiency	C538228
Adenoma, Oxyphilic	D018249
Adenomatous Polyps	D018256
Adenylosuccinate lyase deficiency	C538235
Adjustment Disorders	D000275
Adrenocortical Adenoma	D018246
Adult-onset citrullinemia type 2	C538053
Agammaglobulinemia, X-linked, type 2	C538057
Agenesis of Cerebellar Vermis	C536293
Aggressive Periodontitis	D010520
Aicardi-Goutieres Syndrome 3	C563683
Aicardi-Goutieres Syndrome 4	C563681
Aicardi-Goutieres syndrome 5	C535608
Alagille Syndrome	D016738
Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells	C538539
Alcohol-Induced Disorders	D020751
Alcohol-Related Disorders	D019973
Alpha-ketoglutarate dehydrogenase deficiency	C536582
alpha-Thalassemia	D017085
Alpha-Thalassemia Myelodysplasia Syndrome	C563023
Alstrom Syndrome	D056769
Alveolar capillary dysplasia	C536590
Alzheimer Disease 9	C563834
Amaurosis hypertrichosis	C536604
Amelogenesis Imperfecta	D000567
Amelogenesis imperfecta local hypoplastic form	C538240
Amelogenesis imperfecta pigmented hypomaturation type	C538242
Amelogenesis Imperfecta, Type III	C562880
Aminoacylase 1 deficiency	C538246
Amish lethal microcephaly	C538247
Amnesia, Retrograde	D000648
Amyloidosis IX	C562643
Amyloidosis, Primary Cutaneous	C562642
Amyotrophic Lateral Sclerosis 10	C567429
Amyotrophic Lateral Sclerosis 11	C567244
Amyotrophic Lateral Sclerosis 4, Juvenile	C566550
Amyotrophic Lateral Sclerosis 5	C566576
Amyotrophic Lateral Sclerosis 8	C563895
Anemia, Diamond-Blackfan	D029503
Anemia, Diamond-Blackfan, 3	C536355
Anemia, Hemolytic, Autoimmune	D000744
Anemia, Hypochromic Microcytic, With Iron Overload	C567144
Anemia, Macrocytic	D000748
Anemia, Sideroblastic, Pyridoxine-Refractory, Autosomal Recessive	C567145
Anemia, sideroblastic spinocerebellar ataxia	C536358
Anencephaly	D000757
Angelman Syndrome	D017204
Angiokeratoma	D000794
Aniridia	D015783
Aniridia cerebellar ataxia mental deficiency	C536370
Ankylosis	D000844
Anodontia	D000848
Anophthalmia with pulmonary hypoplasia	C537768
Anophthalmos	D000853
Anti-plasmin deficiency, congenital	C537777
Antisocial Personality Disorder	D000987
Antithrombin III Deficiency	D020152
Anus, Imperforate	D001006
Aortic aneurysm, familial thoracic 4	C537784
Aortic Stenosis, Supravalvular	D021921
Aphasia	D001037
Arachnodactyly	D054119
Argininosuccinic Aciduria	D056807
Arhinia, choanal atresia, and microphthalmia	C537429
Armfield X-Linked Mental Retardation Syndrome	C564551
Arnold-Chiari Malformation	D001139
Aromatic amino acid decarboxylase deficiency	C537437
Arrhythmogenic Right Ventricular Dysplasia, Familial, 1	C566254
Arrhythmogenic Right Ventricular Dysplasia, Familial, 10	C565707
Arrhythmogenic Right Ventricular Dysplasia, Familial, 2	C563409
Arrhythmogenic Right Ventricular Dysplasia, Familial, 5	C565776
Arrhythmogenic Right Ventricular Dysplasia, Familial, 9	C563808
Arterial calcification of infancy	C537440
Arteriovenous Malformations	D001165
Arthralgia	D018771
Arthrogryposis	D001176
Arthrogryposis renal dysfunction cholestasis syndrome	C535382
Arts syndrome	C535388
Asperger Syndrome	D020817
Asphyxia	D001237
Asphyxiating Thoracic Dystrophy 2	C566982
Asthenia	D001247
Asthma, Nasal Polyps, And Aspirin Intolerance	C565935
Ataxia, Spastic, 2, Autosomal Recessive	C566969
Ataxia Telangiectasia	D001260
Ataxia with vitamin E deficiency	C535393
Atelosteogenesis type 2	C535395
Athabaskan brainstem dysgenesis	C535397
Atrial Fibrillation, Familial, 4	C566244
Atrial myxoma, familial	C538262
Atrial Septal Defect 3	C563540
Atrial Septal Defect 5	C567561
Atrioventricular Septal Defect, Partial, with Heterotaxy Syndrome	C565249
ATR-X syndrome	C538258
Aural Atresia, Congenital	C564321
Autoimmune Diseases of the Nervous System	D020274
Back Pain	D001416
Band Heterotopia of Brain	C563950
Barber Say syndrome	C537908
Bardet-Biedl Syndrome 10	C565919
Bardet-Biedl Syndrome 11	C565920
Bardet-Biedl syndrome 4	C537912
Barth Syndrome	D056889
Bartter Syndrome, Type 4A	C566530
Basan syndrome	C537659
Behr syndrome	C537669
Benign essential blepharospasm	C535428
Beta-Hydroxyisobutyryl CoA Deacylase Deficiency	C562803
Beta ketothiolase deficiency	C535434
beta-Mannosidosis	D044905
Beta Thalassemia, Dominant Inclusion Body Type	C565834
Beta-Ureidopropionase Deficiency	C563210
Bilateral Vestibulopathy	D000071699
Bile acid synthesis defect, congenital, 1	C535442
Biliary Tract Neoplasms	D001661
Binge Drinking	D063425
Biotinidase Deficiency	D028921
Birt-Hogg-Dube Syndrome	D058249
Bjornstad syndrome	C537633
Blepharophimosis syndrome Ohdo type	C536232
Blepharoptosis	D001763
Blepharospasm	D001764
Blister	D001768
Bloom Syndrome	D001816
Bohring syndrome	C537419
Bone Marrow Diseases	D001855
Borjeson-Forssman-Lehmann syndrome	C536575
Bowen-Conradi syndrome	C537081
Brachydactyly type A1	C537088
Brachydactyly, Type E	C566194
Brachyolmia	C537098
Brain Diseases, Metabolic	D001928
